Year,Country,GDP_per_capita,Gini_Index,Top_10_Income_Share,Top_10_Wealth_Share,Bottom_50_Income_Share,Bottom_50_Wealth_Share,Total_Population,Group
1980,Bangladesh,2626.4911,0.4732,0.3652,0.5731,0.1997,0.0491,88016432,3
1981,Bangladesh,2613.7059,0.4732,0.3652,0.5731,0.1997,0.0491,90303105,3
1982,Bangladesh,2619.9257,0.4732,0.3652,0.5731,0.1997,0.0491,92814507,3
1983,Bangladesh,2679.1805,0.4732,0.3652,0.5731,0.1997,0.0491,95335155,3
1984,Bangladesh,2710.5999,0.4836,0.3774,0.5762,0.1947,0.0486,97814966,3
1985,Bangladesh,2733.8507,0.4936,0.3891,0.5783,0.1898,0.0483,100253825,3
1986,Bangladesh,2772.7793,0.4994,0.3947,0.5794,0.1869,0.0481,102635572,3
1987,Bangladesh,2790.6245,0.505,0.4001,0.5805,0.1841,0.048,104959291,3
1988,Bangladesh,2788.4072,0.5105000000000001,0.4054,0.5811000000000001,0.1814,0.0479,107216008,3
1989,Bangladesh,2840.0528,0.5043,0.3986,0.5804,0.1838,0.048,109433799,3
1990,Bangladesh,2902.9621,0.4983,0.3919,0.5791000000000001,0.1862,0.0482,111633717,3
1991,Bangladesh,2935.4345,0.4925,0.3854,0.5778,0.1886,0.0484,113787109,3
1992,Bangladesh,2983.8531,0.5087,0.4032,0.5809000000000001,0.1812,0.0479,115952192,3
1993,Bangladesh,3031.3871,0.5236000000000001,0.4196,0.5835,0.1745,0.0475,118132360,3
1994,Bangladesh,3084.7405,0.5374,0.4348,0.5879,0.1683,0.0467,120343179,3
1995,Bangladesh,3142.6468,0.5501,0.4488,0.5920000000000001,0.1625,0.0461,122600370,3
1996,Bangladesh,3209.3608,0.5502,0.4477,0.5915,0.1619,0.0461,124862179,3
1997,Bangladesh,3286.4244,0.5507000000000001,0.4468,0.5914,0.1611,0.0462,127198069,3
1998,Bangladesh,3354.2914,0.5504,0.4455,0.5911000000000001,0.1608,0.0462,129622332,3
1999,Bangladesh,3433.2812,0.552,0.4455,0.5911000000000001,0.1592,0.0462,132108065,3
2000,Bangladesh,3520.3896,0.5525,0.4449,0.5910000000000001,0.1585,0.0462,134544304,3
2001,Bangladesh,3595.6726,0.5532,0.4459,0.5912000000000001,0.1582,0.0462,136805810,3
2002,Bangladesh,3685.1416,0.5567,0.4487,0.5920000000000001,0.156,0.0461,138933658,3
2003,Bangladesh,3813.5256,0.5615,0.4522,0.5934,0.153,0.0458,140970351,3
2004,Bangladesh,3963.1022,0.5622,0.4532,0.5938,0.1526,0.0458,142902856,3
2005,Bangladesh,4139.4864,0.5639000000000001,0.4548,0.5941000000000001,0.1516,0.0457,144715786,3
2006,Bangladesh,4372.3282,0.5611,0.4513,0.5931000000000001,0.1528,0.0459,146405973,3
2007,Bangladesh,4656.6131,0.5596,0.4488,0.5920000000000001,0.1533,0.0461,147989278,3
2008,Bangladesh,4913.6517,0.5494,0.4407,0.5899,0.1595,0.0464,149474264,3
2009,Bangladesh,5178.6384,0.5444,0.4362,0.5883,0.1622,0.0467,150873714,3
2010,Bangladesh,5494.568,0.5463,0.4363,0.5884,0.1606,0.0467,152201981,3
2011,Bangladesh,5847.8343,0.5418000000000001,0.4329,0.5874,0.1635,0.0468,153591076,3
2012,Bangladesh,6203.5567,0.5402,0.4316,0.5869,0.1644,0.0469,155070101,3
2013,Bangladesh,6571.7322,0.5384,0.4302,0.5863,0.1656,0.047,156532141,3
2014,Bangladesh,6985.6474,0.5354,0.428,0.5854,0.1674,0.0472,157964929,3
2015,Bangladesh,7465.6081,0.531,0.4248,0.5846,0.1702,0.0473,159383179,3
2016,Bangladesh,7899.0103,0.5298,0.4239,0.5840000000000001,0.1709,0.0474,160811932,3
2017,Bangladesh,8309.7326,0.53,0.424,0.5840000000000001,0.1708,0.0474,162186147,3
